name,esr_code,settlement_name,latitude,longitude,region
Утай,921804,Утай,54.6363888888889,100.318888888889,
Утени (пп),951246,Утени,54.0611111111111,121.638611111111,
Утес,767505,Утес,57.4277777777778,41.6038888888889,
Утиный (рзд),963811,Утиный,50.4172222222222,48.6758333333333,
Уткино,310823,Уткино,52.3541666666667,38.9691666666667,
Уткинский Завод,783404,Уткинский Завод,57.1855555555556,59.2661111111111,
Уторгош,058105,Уторгош,58.2772222222222,30.2388888888889,
Утулик,933750,Утулик,51.5444444444444,104.056666666667,
Уть (рзд),150265,Уть,57.6983333333333,51.7566666666667,
Утяк,827000,Утяк,55.4066666666667,65.5361111111111,
Уфа,654504,Уфа,54.7388,55.9721,
Уфа (перев.),654608,Уфа,54.8744444444444,56.2213888888889,
Уфимка,259100,Уфимка,55.8883333333333,59.9527777777778,
Уфтюга,298513,Уфтюга,61.0769444444444,44.3983333333333,
Ухта,285602,Ухта,52.3766666666667,140.3975,
Учалы,805707,Учалы,54.3616666666667,59.4277777777778,
Учулен,865549,Учулен,53.1441666666667,87.3802777777778,
Учум,885222,Учум,55.1525,89.8466666666667,
Уша,142305,Уша,54.3638888888889,41.1794444444444,
Ушаки,031206,Ушаки,50.5836111111111,43.8522222222222,
Ушман,917512,Ушман,50.4113888888889,132.274444444444,
Ушмун (рзд),906556,Ушмун,51.6788888888889,118.360833333333,
Ушумун,952906,Ушумун,52.7830555555556,126.539722222222,
Ущелье (рзд),814212,Ущелье,64.9261111111111,45.6483333333333,
Уютный (рзд),666713,Уютный,52.3366666666667,35.1452777777778,
Уяр,892705,Уяр,54.6252777777778,91.3505555555556,
Фадино (обп),832615,Фадино,54.7855555555556,73.34,
Фаленки,274203,Фаленки,58.3586111111111,51.5922222222222,
Фастов I,343507,Фастов,49.0741666666667,44.2069444444444,
Фастов II,343600,Фастов,49.0741666666667,44.2069444444444,
Фаустово,195105,Фаустово,61.3675,46.4066666666667,
Фащевка,503003,Фащевка,54.1780555555556,31.8408333333333,
Фащевка,848007,Фащевка,54.1780555555556,31.8408333333333,
Февральск,916100,Февральск,52.4541666666667,130.865555555556,
Федоровка,476304,Федоровка,54.5708333333333,55.9625,
Федоровка,822308,Федоровка,54.5708333333333,55.9625,
Федулово,263047,Федулово,57.8605555555556,42.1377777777778,
Феодосия,471601,Феодосия,45.0277777777778,35.3158333333333,
Феодосия,868602,Феодосия,45.0277777777778,35.3158333333333,
"Феодосия (перев., эксп.)",471705,Феодосия,45.0277777777778,35.3158333333333,
