Четверг 12 мар.2026г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
  118.,Алексеевское,О,51 С-Кав (Р),520371,
  119.,Алексино,О,43 Южн (У),445842,
  120.,Алексино,О,58 Ю-Вост (Р),605917,
  121.,Аленевка,Б,58 Ю-Вост (Р),608328,
  122.,Алентуйка,О,94 Заб (Р),941013,
  123.,Аленушка,О,13 Бел,133310,
  124.,Алешево,О,24 Горьк (Р),248158,
  125.,Алешино,О,24 Горьк (Р),261612,
  126.,Алиабад,Б,55 Азерб,559526,
  127.,Алисово,О,58 Ю-Вост (Р),595221,
  128.,Алитус II,О,12 Лит,123613,
  129.,Аллак,О,83 З-Сиб (Р),836715,
  130.,Алмаз,О,32 Ю-Зап (У),322411,
  131.,Алмало,О,51 С-Кав (Р),542915,
  132.,Алонский,О,83 З-Сиб (Р),832422,
  133.,Алтай,О,83 З-Сиб (Р),844557,
  134.,Алтай,О,68 Кзх,670189,
  135.,Алтайсельмаш,О,83 З-Сиб (Р),843412,
  136.,Алтайская Площадка,О,83 З-Сиб (Р),840013,
  137.,Алтайстрой,О,83 З-Сиб (Р),842157,
  138.,Алтары,О,63 Кбш (Р),641665,
  139.,Алтуховка,О,63 Кбш (Р),659014,
  140.,Алтын-Таш,О,80 Ю-Ур (Р),805552,
  141.,Алферово,О,17 Моск (Р),173522,
  142.,Алфимово,О,01 Окт (Р),052217,
  143.,Алчимбаево,О,80 Ю-Ур (Р),813614,
  144.,Альксненай,О,12 Лит,124114,
  145.,Алюминиевый Завод,О,01 Окт (Р),014910,
  146.,АЛЕКСАНДРОВКА,О,24 Горьк (Р),242217,
  147.,Амаляй,О,12 Лит,122941,
  148.,Амерево,О,17 Моск (Р),233735,
  149.,Аметхан-Султан,О,45 Придн (У),474366,
  150.,Аметхан-Султан,О,85 Крым (Р),858719,
