Четверг 12 мар.2026г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
 1363.,Голубово,О,43 Южн (У),447316,
 1364.,Голубой карьер,О,63 Кбш (Р),655511,
 1365.,Голубцово,О,83 З-Сиб (Р),841142,
 1366.,Голубые Ели,О,92 В-Сиб (Р),932955,
 1367.,Голынка,О,13 Бел,136253,
 1368.,Голынь,О,35 Льв (У),387628,
 1369.,Гольцево,О,01 Окт (Р),070234,
 1370.,Голяткино,О,94 Заб (Р),940237,
 1371.,Гомель-Нечетный,О,13 Бел,150034,
 1372.,Гомель-Четный,О,13 Бел,150119,
 1373.,Гомоновка,О,13 Бел,146132,
 1374.,Гоносень,О,39 Млд,397136,
 1375.,Гончаровка,О,43 Южн (У),431642,
 1376.,Гончары,О,13 Бел,137627,
 1377.,Гора Крестовая,О,28 Сев (Р),288899,
 1378.,Гораган,Б,55 Азерб,559511,
 1379.,Горбатовка,О,24 Горьк (Р),264150,
 1380.,Горбуново,О,76 Сверд (Р),761532,
 1381.,Гордиевка,О,32 Ю-Зап (У),341910,
 1382.,Гордынь,О,32 Ю-Зап (У),344751,
 1383.,Горенка,О,01 Окт (Р),040243,
 1384.,Горенки,О,17 Моск (Р),230214,
 1385.,Гори-Грузовая,О,57 Грз,579201,
 1386.,Горизонт-3,О,61 Прив (Р),623756,
 1387.,Горицветный,О,48 Дон (У),509014,
 1388.,Горицветный,О,84 84-я дорога,849917,
 1389.,Горка,О,43 Южн (У),425113,
 1390.,Горка,О,92 В-Сиб (Р),932616,
 1391.,Горки,О,17 Моск (Р),175142,
 1392.,Горки,О,63 Кбш (Р),639311,
 1393.,Горки,О,76 Сверд (Р),764649,
 1394.,Горки,Б,94 Заб (Р),952713,
 1395.,Горланиха,О,28 Сев (Р),307520,
 1396.,Горная,О,88 Крас (Р),890536,
 1397.,Горная Поляна,О,61 Прив (Р),611547,
 1398.,Горный,О,51 С-Кав (Р),521410,
 1399.,Горный,О,80 Ю-Ур (Р),802930,
 1400.,Горный Воздух,О,51 С-Кав (Р),532951,
 1401.,Горный Воздух,О,80 Ю-Ур (Р),818548,
 1402.,Горняцкая,О,48 Дон (У),495610,
 1403.,Городенка-Город,Б,35 Льв (У),389017,
 1404.,Городище,О,35 Льв (У),379028,
 1405.,Городищи,О,01 Окт (Р),041316,
 1406.,Городовичи,О,35 Льв (У),374914,
 1407.,Городок,О,17 Моск (Р),189744,
 1408.,Городок,О,40 Од (У),403939,
 1409.,Городок,О,43 Южн (У),425923,
 1410.,Городок Иванова,О,51 С-Кав (Р),541113,
 1411.,Городок ПМС,О,88 Крас (Р),887815,
 1412.,Городская,О,24 Горьк (Р),240029,
 1413.,Городская,О,88 Крас (Р),886348,
 1414.,Городской Дворец Культуры,О,63 Кбш (Р),654523,
 1415.,Городщина,О,13 Бел,157527,
 1416.,Горожа,О,13 Бел,146471,
 1417.,Горошков,О,32 Ю-Зап (У),338528,
 1418.,Горская,О,01 Окт (Р),039015,
 1419.,Горшково,О,17 Моск (Р),226746,
 1420.,Горькая Балка,О,51 С-Кав (Р),518013,
 1421.,Горьковка,О,76 Сверд (Р),792117,
 1422.,Горьковский,О,61 Прив (Р),610667,
 1423.,Горьковское,О,01 Окт (Р),039513,
 1424.,Горького,О,51 С-Кав (Р),515419,
 1425.,Горятино,Б,01 Окт (Р),044831,
 1426.,Горячий Источник,О,92 В-Сиб (Р),903454,
 1427.,Госпиталь,О,51 С-Кав (Р),535733,
 1428.,Гостеприимная,О,80 Ю-Ур (Р),815018,
 1429.,Гостинополье,О,01 Окт (Р),045497,
 1430.,Гостомля,О,17 Моск (Р),205434,
 1431.,Гостюхино,О,24 Горьк (Р),263340,
 1432.,Гостянка,О,58 Ю-Вост (Р),434443,
 1433.,ГОСТЮХИНСКИЙ КАРЬЕР,О,24 Горьк (Р),263213,
 1434.,ГПЗ,О,61 Прив (Р),620719,
 1435.,Грабовка,О,13 Бел,150316,
 1436.,Гравийный,О,76 Сверд (Р),781911,
 1437.,Града,О,32 Ю-Зап (У),345023,
 1438.,Гражданская,О,17 Моск (Р),196235,
 1439.,Гранит,О,83 З-Сиб (Р),860511,
 1440.,Гранитный,О,01 Окт (Р),030542,
 1441.,Гранки,О,17 Моск (Р),227221,
 1442.,Граново,О,45 Придн (У),456423,
 1443.,Греблово,О,01 Окт (Р),056415,
 1444.,Гребнево,О,13 Бел,168714,
 1445.,Гребной канал,О,83 З-Сиб (Р),840240,
 1446.,Гребня,О,01 Окт (Р),057954,
 1447.,Гредьки,О,35 Льв (У),354446,
 1448.,Гредякино,О,17 Моск (Р),173623,
 1449.,Грезля,О,32 Ю-Зап (У),346810,
 1450.,Гремучий,О,17 Моск (Р),225245,
 1451.,Гремячий,О,92 В-Сиб (Р),934626,
 1452.,Грениковка,О,43 Южн (У),432018,
 1453.,Грехили-Аведжи,О,57 Грз,576822,
 1454.,Гречанский Переезд,О,32 Ю-Зап (У),330615,
 1455.,Грибная,О,28 Сев (Р),293098,
 1456.,Грибная,О,83 З-Сиб (Р),832738,
 1457.,Грибная,О,88 Крас (Р),880074,
 1458.,Грибное,О,01 Окт (Р),030129,
 1459.,Грибное,О,83 З-Сиб (Р),840522,
 1460.,Гривка,О,17 Моск (Р),171026,
 1461.,Гривы,О,01 Окт (Р),057761,
 1462.,Гривятки,О,35 Льв (У),354041,
 1463.,Григоро-Ивановка,О,32 Ю-Зап (У),323838,
 1464.,Григоровка,О,48 Дон (У),492631,
 1465.,Григорово,О,17 Моск (Р),194687,
 1466.,Гридасово,О,58 Ю-Вост (Р),437210,
 1467.,Гриневка,О,17 Моск (Р),205114,
 1468.,Гриньки,О,13 Бел,136910,
 1469.,Грицово,О,17 Моск (Р),226534,
 1470.,Гришаны,О,13 Бел,160017,
 1471.,Гришинский,О,58 Ю-Вост (Р),607217,
 1472.,Гришки,О,32 Ю-Зап (У),331124,
 1473.,Гришки,О,43 Южн (У),429341,
 1474.,Гробиня,О,09 Лат,098691,
 1475.,Грудинино,О,17 Моск (Р),176710,
 1476.,Гружейкяй,О,12 Лит,108427,
 1477.,Груздевка,О,83 З-Сиб (Р),834042,
 1478.,Грузовой Двор,О,92 В-Сиб (Р),935741,
 1479.,Грузское,Б,32 Ю-Зап (У),329016,
 1480.,Грушевка,О,13 Бел,150710,
 1481.,Грушево,О,35 Льв (У),385618,
 1482.,Грушка,О,48 Дон (У),505615,
 1483.,Грушка,О,84 84-я дорога,848276,
 1484.,Гряда,О,13 Бел,149215,
 1485.,Грязная Падь,О,92 В-Сиб (Р),923123,
 1486.,Грязный,О,88 Крас (Р),892480,
 1487.,ГРЭС,О,17 Моск (Р),226318,
 1488.,ГРЭС,О,35 Льв (У),388118,
 1489.,Губерля,О,80 Ю-Ур (Р),813811,
 1490.,Губкин-Пассажирский,Б,58 Ю-Вост (Р),437949,
 1491.,Гудай,О,12 Лит,106830,
 1492.,Гудермес-Западный,О,51 С-Кав (Р),542544,
 1493.,Гужевое,Б,76 Сверд (Р),792140,
 1494.,Гукливый,О,35 Льв (У),383716,
 1495.,Гульбах,О,73 Узбк,740625,
 1496.,Гульбахор,О,73 Узбк,724020,
 1497.,Гульск,О,32 Ю-Зап (У),348093,
 1498.,Гуляево,О,24 Горьк (Р),276124,
 1499.,Гуляйполе,О,35 Льв (У),361219,
 1500.,Гуляны,О,39 Млд,393934,
 1501.,Гуменное,О,32 Ю-Зап (У),335854,
 1502.,Гумны,О,58 Ю-Вост (Р),438317,
 1503.,Гуп,О,57 Грз,573330,
 1504.,Гура Каменчий,О,39 Млд,395613,
 1505.,Гура Кэйнарулуй,О,39 Млд,395427,
 1506.,Гурбей,О,92 В-Сиб (Р),921151,
 1507.,Гурия,О,57 Грз,570510,
 1508.,Гусаровка,Х,32 Ю-Зап (У),346833,
 1509.,Гусевка,О,76 Сверд (Р),781428,
 1510.,Гусевская,О,17 Моск (Р),220063,
 1511.,Гусёвка,О,61 Прив (Р),622823,
 1512.,Гусиный Брод,О,83 З-Сиб (Р),852021,
 1513.,Густафьево,О,83 З-Сиб (Р),830018,
 1514.,Гута,О,13 Бел,164836,
 1515.,Гутиско,О,35 Льв (У),361740,
 1516.,Гуторово,О,58 Ю-Вост (Р),437333,
 1517.,Гущин,О,35 Льв (У),354520,
 1518.,Гырах Кесемен,О,55 Азерб,557228,
 1519.,ГЭС-2,О,01 Окт (Р),014944,
 1520.,Гярконис,О,12 Лит,129118,
 1521.,Даба,О,57 Грз,577632,
 1522.,Даба-Дзвели,О,57 Грз,575514,
 1523.,Дабужа,О,17 Моск (Р),187310,
 1524.,Дайгур,О,94 Заб (Р),941117,
 1525.,Дайнава,О,12 Лит,123658,
 1526.,Далай,О,88 Крас (Р),893549,
 1527.,Далбе,О,09 Лат,091512,
 1528.,Далекий,О,13 Бел,137557,
 1529.,Дальний Буланаш,О,76 Сверд (Р),784727,
 1530.,Дальницкий Переезд,О,40 Од (У),400254,
 1531.,Дальняя Сакарка,О,61 Прив (Р),614634,
 1532.,Дальняя Чернавка,О,61 Прив (Р),624551,
 1533.,Данилково,О,28 Сев (Р),305420,
 1534.,Данилов Мост,О,13 Бел,147830,
 1535.,Даниловка,О,32 Ю-Зап (У),321194,
 1536.,Даниловка,О,40 Од (У),414836,
 1537.,Данилово,О,17 Моск (Р),192713,
 1538.,Даниловская,О,17 Моск (Р),233928,
 1539.,Даниловское,О,17 Моск (Р),226820,
 1540.,Даниловцы,О,13 Бел,137222,
 1541.,Дапнари,О,57 Грз,570050,
 1542.,Дарга,О,96 Д-Вост (Р),963845,
 1543.,Дарзини,О,09 Лат,090030,
 1544.,Дарквети,О,57 Грз,576343,
 1545.,Дарливое,О,13 Бел,158132,
 1546.,Дарница-Депо,О,32 Ю-Зап (У),320011,
 1547.,Даровица,О,24 Горьк (Р),268151,
 1548.,Дары,О,13 Бел,157718,
 1549.,Дарьевка,О,40 Од (У),421674,
 1550.,Даугмале,О,09 Лат,090055,
 1551.,Дачи,О,35 Льв (У),360945,
 1552.,Дачи,О,39 Млд,391021,
 1553.,Дачи,О,43 Южн (У),430813,
 1554.,Дачи,О,61 Прив (Р),615444,
 1555.,Дачи,О,80 Ю-Ур (Р),829044,
 1556.,Дачи,О,88 Крас (Р),886672,
 1557.,Дачи,О,92 В-Сиб (Р),920055,
 1558.,Дачи,О,68 Кзх,673331,
 1559.,Дачная,О,13 Бел,146734,
 1560.,Дачная,О,17 Моск (Р),181013,
 1561.,Дачная,О,24 Горьк (Р),250069,
 1562.,Дачная,О,32 Ю-Зап (У),334334,
 1563.,Дачная,О,58 Ю-Вост (Р),596046,
 1564.,Дачная,О,63 Кбш (Р),631926,
 1565.,Дачная,О,63 Кбш (Р),637922,
 1566.,Дачная,О,76 Сверд (Р),764634,
 1567.,Дачная,О,83 З-Сиб (Р),830075,
 1568.,Дачная,О,83 З-Сиб (Р),853518,
 1569.,Дачная,О,83 З-Сиб (Р),862343,
 1570.,Дачная,О,88 Крас (Р),887711,
 1571.,Дачная,О,88 Крас (Р),893727,
 1572.,Дачная,О,92 В-Сиб (Р),932940,
 1573.,Дачная,О,92 В-Сиб (Р),937643,
 1574.,Дачная I,О,17 Моск (Р),170127,
 1575.,Дачная II,О,17 Моск (Р),170131,
 1576.,Дачник,О,63 Кбш (Р),633527,
 1577.,Дачное,О,01 Окт (Р),034524,
 1578.,Дачное,О,13 Бел,132229,
 1579.,Дачное,О,17 Моск (Р),182266,
 1580.,Дачный,О,13 Бел,150343,
 1581.,Дачный,О,40 Од (У),423398,
 1582.,Дачный,О,92 В-Сиб (Р),920137,
 1583.,Дачный,О,94 Заб (Р),942514,
 1584.,Дачный,О,61 Прив (Р),623883,
 1585.,Дачный,О,61 Прив (Р),616979,
 1586.,Дашково,О,63 Кбш (Р),632312,
 1587.,ДАРЬИНО ОЗЕРО,О,24 Горьк (Р),263020,
 1588.,Двири,Б,57 Грз,577691,
 1589.,Двоеглазово,О,88 Крас (Р),892211,
 1590.,Дворец,О,13 Бел,138210,
 1591.,Дворецкая,О,35 Льв (У),356672,
 1592.,Дворецкий,О,32 Ю-Зап (У),340513,
 1593.,Дворцовый,О,51 С-Кав (Р),531342,
 1594.,Дворянское,О,61 Прив (Р),621731,
 1595.,Двулучное,О,58 Ю-Вост (Р),439729,
 1596.,ДВРЗ,О,32 Ю-Зап (У),320026,
 1597.,Дебрянский,О,17 Моск (Р),174630,
 1598.,Девино,О,83 З-Сиб (Р),860530,
 1599.,Девичье,О,17 Моск (Р),203871,
 1600.,Дегас,О,09 Лат,116832,
 1601.,Дегтяны,О,13 Бел,139020,
 1602.,Дегунино,О,17 Моск (Р),196038,
 1603.,Дедеркой,О,51 С-Кав (Р),533329,
 1604.,Дедново,О,13 Бел,147027,
 1605.,Дедовка,О,13 Бел,152167,
 1606.,Дедогор,О,76 Сверд (Р),771322,
 1607.,Дедюево,О,83 З-Сиб (Р),871111,
 1608.,Дезгинжя,О,39 Млд,397244,
 1609.,Декабристов,О,63 Кбш (Р),635721,
 1610.,Деловое,О,35 Льв (У),386220,
 1611.,Демейка,О,32 Ю-Зап (У),324722,
 1612.,Деменково,О,48 Дон (У),507822,
 1613.,Деменково,О,84 84-я дорога,849476,
 1614.,Демидовка,О,32 Ю-Зап (У),335515,
 1615.,Демчин,О,32 Ю-Зап (У),342222,
 1616.,Демщино,О,17 Моск (Р),170733,
 1617.,Дендрарийс,О,09 Лат,093819,
 1618.,Денисово,О,24 Горьк (Р),263828,
 1619.,Денисово,О,80 Ю-Ур (Р),804225,
 1620.,Депо,О,13 Бел,158144,
 1621.,Депо,О,17 Моск (Р),191458,
 1622.,Депо,О,17 Моск (Р),237914,
 1623.,Депо,О,28 Сев (Р),310024,
 1624.,Депо,О,45 Придн (У),476018,
 1625.,Депо,О,55 Азерб,546827,
 1626.,Депо,О,58 Ю-Вост (Р),597621,
 1627.,Депо,О,61 Прив (Р),620052,
 1628.,Депо,О,76 Сверд (Р),770014,
 1629.,Депо,О,83 З-Сиб (Р),841135,
 1630.,Депо,О,92 В-Сиб (Р),923918,
 1631.,Депо,О,92 В-Сиб (Р),924431,
 1632.,Депо,О,96 Д-Вост (Р),970425,
 1633.,Депо Засулаукс,О,09 Лат,096728,
 1634.,Депо Карталы,О,80 Ю-Ур (Р),816285,
 1635.,Депо Магнитогорск,О,80 Ю-Ур (Р),817511,
 1636.,Депо Новокузнецк,О,83 З-Сиб (Р),860013,
 1637.,Депо Фаянсовая,О,17 Моск (Р),186958,
 1638.,Депо-Локомотивное,О,40 Од (У),411850,
 1639.,Депо-Одесса-Сортировочная,О,40 Од (У),400038,
 1640.,Депо-Узел,О,45 Придн (У),450056,
 1641.,Деповская,О,17 Моск (Р),200036,
 1642.,Деповская,О,83 З-Сиб (Р),830732,
 1643.,Деповская,О,88 Крас (Р),886210,
 1644.,Деповской,О,13 Бел,155023,
 1645.,Дербеневская,О,17 Моск (Р),193449,
 1646.,Дергановка,О,32 Ю-Зап (У),339323,
 1647.,Деревенская,О,17 Моск (Р),172137,
 1648.,Деревеньки,О,01 Окт (Р),050550,
 1649.,Деревины,Б,32 Ю-Зап (У),327237,
 1650.,Деревня Ганзурино,О,92 В-Сиб (Р),935991,
 1651.,Деревня Гряды,О,01 Окт (Р),041710,
 1652.,Дерезовка,О,48 Дон (У),492519,
 1653.,Дерезовка,О,58 Ю-Вост (Р),600256,
 1654.,Дертка,О,32 Ю-Зап (У),341732,
 1655.,Десенка,О,32 Ю-Зап (У),335869,
 1656.,Детковичи,О,13 Бел,137063,
 1657.,Детская,О,17 Моск (Р),235213,
 1658.,Детскосельская,О,01 Окт (Р),032711,
 1659.,Дея,О,94 Заб (Р),956324,
 1660.,ДЕЯНОВО,О,24 Горьк (Р),265721,
 1661.,Джатва,О,94 Заб (Р),953237,
 1662.,Джвари,Б,57 Грз,573006,
 1663.,Джгун,О,43 Южн (У),442011,
 1664.,Джемикент,О,51 С-Кав (Р),544130,
 1665.,Джемуха,О,51 С-Кав (Р),530015,
 1666.,Джерат,О,55 Азерб,546475,
 1667.,Джигаевка,О,32 Ю-Зап (У),327449,
 1668.,Джигинский,О,51 С-Кав (Р),522714,
 1669.,Джимбулук,О,45 Придн (У),475341,
 1670.,Джоковети,О,57 Грз,576220,
 1671.,Джолтай,О,39 Млд,398834,
 1672.,Джуксте,О,09 Лат,097631,
 1673.,Джурын,Б,35 Льв (У),364518,
 1674.,Дзвиняч,Б,35 Льв (У),365116,
 1675.,Дзелзава,О,09 Лат,116917,
 1676.,Дзелинда,Х,92 В-Сиб (Р),903416,
 1677.,Дзержинск,О,13 Бел,144442,
 1678.,Дзержинская,О,17 Моск (Р),194511,
 1679.,Дзержинского,О,58 Ю-Вост (Р),597231,
 1680.,Дзигури,О,57 Грз,571710,
 1681.,Дзинтари,О,09 Лат,097133,
 1682.,Дзюньков,О,32 Ю-Зап (У),338759,
 1683.,Диброва,О,35 Льв (У),385641,
 1684.,Диброва,О,35 Льв (У),388531,
 1685.,Диброво,О,43 Южн (У),443688,
 1686.,Дибуны,О,01 Окт (Р),038826,
 1687.,Дивлин,О,32 Ю-Зап (У),349221,
 1688.,Дивногорский монастырь,О,58 Ю-Вост (Р),581820,
 1689.,Дивногорье,О,58 Ю-Вост (Р),581816,
 1690.,Дивное-Новое,Б,10 Клг (Р),100514,
 1691.,Дидинский Тоннель,О,76 Сверд (Р),781447,
 1692.,Дидубе,О,57 Грз,560218,
 1693.,Дизьмино,О,24 Горьк (Р),274311,
 1694.,Дикаловка,О,13 Бел,150320,
 1695.,Диканевка,О,43 Южн (У),440853,
 1696.,Диковка,О,40 Од (У),410044,
 1697.,Димзас,О,09 Лат,091851,
 1698.,Дитва,О,13 Бел,137631,
 1699.,Дитрики,О,13 Бел,137650,
 1700.,Дмитриевка,О,28 Сев (Р),304639,
 1701.,Дмитриевка,О,48 Дон (У),491215,
 1702.,Дмитриевка,Б,61 Прив (Р),615016,
 1703.,Дмитриевка,О,89 89-я дорога,929933,
 1704.,Дмитриевская,О,58 Ю-Вост (Р),435643,
 1705.,Дмитрия,О,35 Льв (У),377838,
 1706.,Дмитровка,О,40 Од (У),414327,
 1707.,Дмитровская,О,17 Моск (Р),196112,
 1708.,Дмитровское,О,01 Окт (Р),042910,
 1709.,Дмитротарановский,О,58 Ю-Вост (Р),434246,
 1710.,Днепровская,О,40 Од (У),417857,
 1711.,Днепрорудная,Х,82 82-я дорога,822609,
 1712.,Добрая Воля,О,58 Ю-Вост (Р),435569,
 1713.,Добрино,Б,10 Клг (Р),104356,
 1714.,Добрино,О,13 Бел,160939,
 1715.,Добровляны,О,35 Льв (У),376197,
 1716.,Добровольский,О,58 Ю-Вост (Р),600311,
 1717.,Доброселье,О,35 Льв (У),384210,
 1718.,Добростаны,О,35 Льв (У),373324,
 1719.,Добротов,О,35 Льв (У),386610,
 1720.,Добружа,О,39 Млд,391036,
 1721.,Довбище,О,32 Ю-Зап (У),342010,
 1722.,Довге (узк.),О,35 Льв (У),384615,
 1723.,Довге-Моршинское,О,35 Льв (У),377452,
 1724.,Довгердишки,О,13 Бел,162417,
 1725.,Догадаево,О,88 Крас (Р),894010,
 1726.,Догадцево,О,28 Сев (Р),310912,
 1727.,Докторовка,О,61 Прив (Р),623559,
 1728.,Долгопрудная,О,17 Моск (Р),237825,
 1729.,Доле,О,09 Лат,090045,
 1730.,Должа,О,13 Бел,160356,
 1731.,Должанская-Новая,О,84 84-я дорога,839718,
 1732.,Должицы,О,01 Окт (Р),056769,
 1733.,Должниково,О,63 Кбш (Р),642164,
 1734.,Долина,О,80 Ю-Ур (Р),827975,
 1735.,Дом Отдыха,О,43 Южн (У),444214,
 1736.,Дом Отдыха,О,94 Заб (Р),953311,
 1737.,Доманинцы,О,35 Льв (У),381025,
 1738.,Домановский,О,13 Бел,162926,
 1739.,Домаха,О,45 Придн (У),454428,
 1740.,Домачево,О,13 Бел,132337,
 1741.,Домашаны,О,13 Бел,140935,
 1742.,Домашевка,О,17 Моск (Р),184721,
 1743.,Домнино,О,17 Моск (Р),216439,
 1744.,Домостроитель,О,83 З-Сиб (Р),871249,
 1745.,Донец,О,43 Южн (У),444125,
 1746.,Донец,О,48 Дон (У),507343,
 1747.,Донец,О,84 84-я дорога,849141,
 1748.,Донино,О,17 Моск (Р),194653,
 1749.,Донховка,О,01 Окт (Р),061146,
 1750.,Донцы,О,17 Моск (Р),228417,
 1751.,Дор,Б,01 Окт (Р),051110,
 1752.,Дора,О,35 Льв (У),386555,
 1753.,Доровичный,О,28 Сев (Р),298157,
 1754.,Дороговский-2,О,51 С-Кав (Р),587719,
 1755.,Дорожев,О,35 Льв (У),375758,
 1756.,Дорожков,О,51 С-Кав (Р),529624,
 1757.,Дорожный,О,10 Клг (Р),104252,
 1758.,Доротище,О,35 Льв (У),354535,
 1759.,Дорупе,О,09 Лат,091847,
 1760.,Дорурс,О,51 С-Кав (Р),513113,
 1761.,Достоевский,О,83 З-Сиб (Р),860234,
 1762.,Драница,О,35 Льв (У),367145,
 1763.,Дрануха,О,13 Бел,158017,
 1764.,Драчино,О,35 Льв (У),383538,
 1765.,Дребск,О,13 Бел,139444,
 1766.,Древлянка,О,32 Ю-Зап (У),346312,
 1767.,Дремайловка,О,32 Ю-Зап (У),325417,
 1768.,Дричин,О,13 Бел,145322,
 1769.,Дрогичин-Город,О,13 Бел,132919,
 1770.,Дроново-ВРП,О,48 Дон (У),503520,
 1771.,Дроново-ВРП,О,89 89-я дорога,978037,
 1772.,Дружба,О,32 Ю-Зап (У),348017,
 1773.,Дружба,О,35 Льв (У),387115,
 1774.,Дружба,О,40 Од (У),419373,
 1775.,Дружба,О,51 С-Кав (Р),533263,
 1776.,Дружба,О,83 З-Сиб (Р),844415,
 1777.,Дружба,О,83 З-Сиб (Р),871253,
 1778.,Друцкая,О,32 Ю-Зап (У),338725,
 1779.,ДРОБЫШЕВО,О,83 З-Сиб (Р),834733,
 1780.,Дтмашен,О,56 Ю-Кав,568417,
 1781.,Дубени,О,09 Лат,098653,
 1782.,Дубиевка,О,32 Ю-Зап (У),347813,
 1783.,Дубинка,О,32 Ю-Зап (У),328920,
 1784.,Дубины,О,58 Ю-Вост (Р),435573,
 1785.,Дубки,О,32 Ю-Зап (У),331162,
 1786.,Дублянщина,О,43 Южн (У),448874,
 1787.,Дубно,О,13 Бел,135439,
 1788.,Дубно,О,01 Окт (Р),047524,
 1789.,Дубновичи,О,13 Бел,133471,
 1790.,Дубовая Корчма,П,35 Льв (У),357529,
 1791.,Дубовая Роща,О,63 Кбш (Р),638215,
 1792.,Дубовец,О,32 Ю-Зап (У),348248,
 1793.,Дубовка,О,58 Ю-Вост (Р),590336,
 1794.,Дубовый Гай,Б,61 Прив (Р),624424,
 1795.,Дубовый Гай,О,61 Прив (Р),624439,
 1796.,Дубок,О,13 Бел,132549,
 1797.,Дубок,О,96 Д-Вост (Р),971714,
 1798.,Дубочки,О,01 Окт (Р),075219,
 1799.,Дубрава,О,83 З-Сиб (Р),830056,
 1800.,Дубрава,О,83 З-Сиб (Р),852040,
 1801.,Дубравка-Боржавская (узк.),О,35 Льв (У),384530,
 1802.,Дубравная,О,24 Горьк (Р),261345,
 1803.,Дубровинка,О,17 Моск (Р),170112,
 1804.,Дубровичи,О,13 Бел,153827,
 1805.,Дубровный,О,76 Сверд (Р),793139,
 1806.,Дуброво,О,83 З-Сиб (Р),862635,
 1807.,Дуброво,О,01 Окт (Р),047878,
 1808.,Дубровский,Б,24 Горьк (Р),242016,
 1809.,Дубрыничи,О,35 Льв (У),381621,
 1810.,Дубцы,О,01 Окт (Р),041814,
 1811.,Дугинка,О,58 Ю-Вост (Р),582723,
 1812.,Дударево,О,13 Бел,150231,
 1813.,Дудергоф,О,01 Окт (Р),034219,
 1814.,Дудино-Серебряное,О,17 Моск (Р),228811,
 1815.,Дудинское,О,28 Сев (Р),301612,
 1816.,Дудичи,О,13 Бел,153831,
 1817.,Дудкино,О,17 Моск (Р),220612,
 1818.,Дудоровская,О,01 Окт (Р),058815,
 1819.,Думсяй,О,12 Лит,124612,
 1820.,Дунаево,О,94 Заб (Р),948667,
 1821.,Дунай,Б,01 Окт (Р),036426,
 1822.,Дундури (узк.),О,09 Лат,111557,
 1823.,Дуневка,Б,01 Окт (Р),042925,
 1824.,Дурбе,О,09 Лат,093537,
 1825.,Дурпинас,О,12 Лит,125530,
 1826.,Дустлик,О,73 Узбк,724228,
 1827.,Душкачан,Х,92 В-Сиб (Р),903331,
 1828.,Дымерка,О,32 Ю-Зап (У),323335,
 1829.,Дыми,О,01 Окт (Р),047416,
 1830.,Дырдино,О,40 Од (У),422412,
 1831.,Дычков,О,35 Льв (У),360911,
 1832.,Дяглевка,О,17 Моск (Р),184539,
 1833.,Дягуляй,О,12 Лит,128717,
 1834.,Дяткино,Б,51 С-Кав (Р),586951,
 1835.,Дятловичи,О,13 Бел,139463,
 1836.,Дятлово,О,13 Бел,142127,
 1837.,Евгеньевка,О,40 Од (У),416110,
 1838.,Евдаковский,О,58 Ю-Вост (Р),584759,
 1839.,Евдокимовский,О,61 Прив (Р),623417,
 1840.,Еглино,О,01 Окт (Р),041015,
 1841.,Еградковка,О,40 Од (У),423237,
 1842.,Ежуры,О,24 Горьк (Р),267515,
 1843.,Езерская,О,43 Южн (У),443476,
 1844.,Екатериновка,О,58 Ю-Вост (Р),596811,
 1845.,Екатериновка,О,83 З-Сиб (Р),832121,
 1846.,Екатериноградский,Б,51 С-Кав (Р),537620,
 1847.,Елань,О,58 Ю-Вост (Р),583811,
 1848.,Елань,О,88 Крас (Р),893746,
 1849.,Елань,О,92 В-Сиб (Р),924126,
 1850.,Елизаветинка,О,80 Ю-Ур (Р),815639,
 1851.,Елизаветовка,О,39 Млд,393328,
 1852.,Елисеевка,О,88 Крас (Р),889187,
 1853.,Еловка,О,88 Крас (Р),890733,
 1854.,Еловка,О,92 В-Сиб (Р),934768,
 1855.,Елочки,О,96 Д-Вост (Р),996340,
 1856.,Елочный,О,48 Дон (У),490087,
 1857.,Елочный,О,89 89-я дорога,929187,
 1858.,Елтай,Х,68 Кзх,699632,
 1859.,Елховка,О,63 Кбш (Р),642441,
 1860.,Елховка-2,О,61 Прив (Р),624410,
 1861.,Елхово,О,24 Горьк (Р),249517,
 1862.,Ельник,О,28 Сев (Р),303016,
 1863.,Ельники,О,76 Сверд (Р),764653,
 1864.,Ельниково,О,58 Ю-Вост (Р),435022,
 1865.,Еманкино,О,80 Ю-Ур (Р),803612,
 1866.,Емелино,О,76 Сверд (Р),781413,
 1867.,Енисейская,О,88 Крас (Р),888216,
 1868.,Еремеево,О,51 С-Кав (Р),515316,
 1869.,Еремино,О,13 Бел,150015,
 1870.,Ерестово,О,43 Южн (У),425529,
 1871.,Ерзово,О,01 Окт (Р),064318,
 1872.,Ерзовское,О,76 Сверд (Р),788018,
 1873.,Ерик,О,63 Кбш (Р),643124,
 1874.,Еринь,О,28 Сев (Р),282910,
 1875.,Ермолаевская,О,83 З-Сиб (Р),832865,
 1876.,Ермоловка,О,13 Бел,158619,
 1877.,Еруслан,О,61 Прив (Р),626311,
 1878.,Ершовка,О,61 Прив (Р),609273,
 1879.,Ершовой надел,О,01 Окт (Р),047859,
 1880.,Есауловка,О,83 З-Сиб (Р),863219,
 1881.,Есауловка,О,88 Крас (Р),892527,
 1882.,Есенинская,О,17 Моск (Р),194846,
 1883.,Есень-Платформа,О,35 Льв (У),380135,
 1884.,Есино,О,17 Моск (Р),230718,
